Title,Genres,Publishers,Review Score,Console,Rating,Year
FIFA Street 2,Sports,EA,58,Sony PSP,T,2006
007: From Russia with Love,"Action,Racing / Driving",EA,61,Sony PSP,T,2006
PaRappa the Rapper,Action,Sony,67,Sony PSP,T,2006
Riviera: The Promised Land,Role-Playing (RPG),,68,Sony PSP,M,2006
Samurai Warriors: State of War,Action,,64,Sony PSP,E,2006
Viewtiful Joe: Red Hot Rumble,Action,Capcom,63,Sony PSP,E,2006
Ice Age 2: The Meltdown,Action,,66,Nintendo Wii,E,2006
Rumble Roses XX,"Action,Sports",Konami,62,X360,E,2006
Bionicle Heroes,Action,Eidos,72,Nintendo DS,T,2006
Deep Labyrinth,Role-Playing (RPG),,57,Nintendo DS,T,2006
Blade Dancer: Lineage of Light,Role-Playing (RPG),,60,Sony PSP,E,2006
Every Extend Extra,Action,,74,Sony PSP,E,2006
Ultimate Ghosts 'N' Goblins,Action,Capcom,72,Sony PSP,E,2006
Xiaolin Showdown,Action,Konami,44,Sony PSP,M,2006
